,hotel_id,clean_score,meal_score,location_score,sleep_score,room_score,service_score,facility_score,overall_score,num_review,review_score
9095,36030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9096,36031,9.8,-1.0,9.8,9.3,10.0,9.8,10.0,9.0,-1,-1.0
9097,36032,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.9,-1,-1.0
9098,36035,9.3,-1.0,9.7,9.6,9.2,9.4,9.2,9.25,-1,-1.0
9099,36036,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9100,36041,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9101,36042,10.0,-1.0,10.0,-1.0,10.0,10.0,10.0,8.85,-1,-1.0
9102,36044,9.9,-1.0,9.3,10.0,-1.0,9.7,-1.0,8.9,-1,-1.0
9103,36045,8.3,6.5,8.7,8.6,-1.0,8.5,7.7,8.25,-1,-1.0
9104,36047,8.3,8.3,8.3,8.3,-1.0,8.3,-1.0,7.35,-1,-1.0
9105,36049,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.2,-1,-1.0
9106,36050,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9107,36052,7.5,-1.0,6.7,7.5,-1.0,6.7,-1.0,7.35,-1,-1.0
9108,36054,8.0,-1.0,8.0,8.0,-1.0,8.0,-1.0,8.0,-1,-1.0
9109,36055,7.7,-1.0,7.4,-1.0,-1.0,7.4,7.1,7.75,-1,-1.0
9110,36056,4.3,8.0,4.3,8.0,2.5,4.3,2.5,2.5,-1,-1.0
9111,36057,10.0,-1.0,9.8,9.9,-1.0,9.8,10.0,8.85,51,3.92
9112,36058,8.9,-1.0,8.6,8.7,8.7,8.7,8.5,8.35,16,4.86
9113,36059,8.9,-1.0,8.4,9.1,8.5,9.0,8.4,8.35,19,3.41
9114,36060,9.9,-1.0,9.3,9.9,-1.0,9.6,-1.0,8.85,7,3.95
9115,36062,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9116,36063,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9117,36064,8.0,-1.0,10.0,-1.0,-1.0,10.0,6.0,5.85,-1,-1.0
9118,36065,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.8,-1,-1.0
9119,36067,8.8,-1.0,8.6,8.6,8.7,8.6,8.5,9.05,40,3.59
9120,36070,9.2,-1.0,9.1,9.1,-1.0,9.1,-1.0,8.55,21,3.52
9121,36072,6.3,-1.0,7.5,-1.0,8.8,7.5,6.3,7.55,-1,-1.0
9122,36073,7.6,6.0,8.8,8.0,-1.0,7.4,6.5,6.45,-1,-1.0
