,id,name,district_id,province_id
10200,32442,Chùa Phước Duyên,275,1
10201,32443,Bãi Biển Cảnh Dương,441,1
10202,32444,Đầm Chuồn - Quốc Lộ 49,451,1
10203,32445,Tịnh Tâm Kim Cổ,275,1
10204,32446,Vườn Quốc Gia Bạch Mã,441,1
10205,32447,Công Viên Thương Bạc,275,1
10206,32448,Lăng Thiệu Trị,281,1
10207,32449,Sông Hương,275,1
10208,32450,Núi Bạch Mã,441,1
10209,32451,Vịnh Lăng Cô,441,1
10210,32452,Hòn Chảo - Phú Lộc,441,1
10211,32453,Lotte Cinema - Big C,275,1
10212,32454,Vuvuzalo Beer Club - Nguyễn Thái Học,275,1
10213,32455,Quán NGON 72,275,1
10214,32456,Gecko Cafe - Phạm Ngũ Lão,275,1
10215,32457,Góc Phố - Lê Minh,275,1
10216,32458,Trung Tâm Ẩm Thực Và Vui Chơi Giải Trí Làng Đại Học Huế,275,1
10217,32459,Chùa Ông Mẹt - Lê Lợi,620,46
10218,32460,Chùa Vàm Ray - Hàm Giang,617,46
10219,32461,Chùa Sam Rông Ek - Kho Dầu,620,46
10220,32462,Chùa Cò - Tỉnh Lộ 914,617,46
10221,32463,Chùa Hang - 2 Tháng 9,116,46
10222,32464,Chùa Angkorajaborey - Quốc Lộ 53,620,46
10223,32465,Bệnh Viện Đa Khoa Minh Tấm - Nguyễn Đáng,620,46
10224,32466,Bệnh Viện Đa Khoa Huyện Châu Thành - 30 Tháng 4,83,46
10225,32467,Bệnh Viện Đa Khoa Khu Vực Cầu Ngang,103,46
10226,32468,Bệnh Viện Đa Khoa Khu Vực Tiểu Cần,613,46
10227,32469,Bệnh Viện Đa Khoa Huyện Trà Cú,617,46
10228,32470,Bệnh Viện Đa Khoa Huyện Duyên Hải - 19 Tháng 5,150,46
10229,32471,Bệnh Viện Đa Khoa Huyện Càng Long,83,46
10230,32472,Bệnh Viện Đa Khoa Huyện Cầu Kè - Trần Hưng Đạo,102,46
10231,32473,Bệnh Viện Đa Khoa Trà Vinh - Điện Biên Phủ,620,46
10232,32474,Bệnh Viện Quân Y Tỉnh Trà Vinh - Nguyễn Thị Minh Khai,620,46
10233,32475,Bệnh Viện Y Học Dân Tộc Tỉnh Trà Vinh,116,46
10234,32476,Bảo Tàng Quang Trung  - ĐT 636,559,5
10235,32477,CGV Cinemas - Kim Cúc Plaza,258,5
10236,32478,Jollibee - Kim Cúc Plaza,258,5
10237,32479,Maguerite Coffee - Trần Hưng Đạo,258,5
10238,32480,Big C Quy Nhơn,258,5
10239,32481,Trung Tâm Thương Mại Co.op Mart - Nguyễn Tất Thành,258,5
10240,32482,Chùa Phù Ly - Quốc Lộ 54,59,37
10241,32483,Chùa Hạnh Phúc Tăng - Quốc Lộ 53,685,37
10242,32484,Chùa Tiên Châu - Long Hồ,339,37
10243,32485,Chùa Cổ Long An - Quốc Lộ 54,619,37
10244,32486,Chùa Phước Hậu - Quốc Lộ 54,525,37
10245,32487,Chùa Kỳ Son - Tam Bình,525,37
10246,32488,Bệnh Viện Đa Khoa Thành Phố Vĩnh Long - Phạm Hùng,673,37
10247,32489,Bệnh Viện Đa Khoa Vĩnh Long - Trần Phú,673,37
10248,32490,Bệnh Viện Đa Khoa Bình Minh - Nguyễn Văn Thảnh,59,37
10249,32491,Bệnh Viện Đa Khoa Huyện Tam Bình - Tỉnh Lộ 905,525,37
10250,32492,Bệnh Viện Đa Khoa Huyện Vũng Liêm - Điện Biên Phủ,685,37
10251,32493,Bệnh Viện Đa Khoa Huyện Long Hồ - Tỉnh Lộ 909,339,37
10252,32494,Bệnh Viện Đa Khoa Huyện Mang Thít - 3 Tháng 2,357,37
10253,32495,Bệnh Viện Y Học Dân Tộc Vĩnh Long - Trần Phú,673,37
10254,32496,Trắng & Đen Cafe,673,37
10255,32497,Khu Du Lịch Măng Đen,304,56
10256,32498,Tổ Đình Bác Ái - Mạc Đĩnh Chi,306,56
10257,32499,Nhà Thờ Chính Tòa Kon Tum - Nguyễn Huệ,306,56
10258,32500,I Love Kon Tum Coffee,306,56
10259,32501,Hi Korea Bắc Ninh,39,26
