,hotel_id,clean_score,meal_score,location_score,sleep_score,room_score,service_score,facility_score,overall_score
470,22056,9.3,7.5,7.7,8.8,-1,8.2,-1,8.6
471,22070,7.9,-1,7.9,8.2,-1,7.9,-1,7.9
472,22132,9.5,7.6,8.8,8.8,-1,8.5,-1,6.9
473,22178,8.8,7.7,8.2,8.7,-1,8.6,-1,8.3
474,22216,9.1,-1,9.1,8.7,8.7,8.9,8.5,8.9
475,22222,8.7,8.7,7.7,8.3,-1,7.7,-1,8.6
476,22262,-1,-1,-1,-1,-1,-1,-1,-1
477,22285,-1,-1,-1,-1,-1,-1,-1,6
478,22309,-1,-1,-1,-1,-1,-1,-1,6.5
479,22410,-1,-1,-1,-1,-1,-1,-1,8.7
480,22454,-1,-1,-1,-1,-1,-1,-1,-1
481,22464,9.6,8.3,8.3,9.5,-1,9,-1,8.7
482,22493,9.7,8,7.7,9.4,-1,8.6,-1,8.7
483,22500,7.5,-1,8.1,7.5,7.5,7.8,7.5,7.4
484,22514,8.9,8.4,8,8.7,-1,8.6,-1,8.6
485,22517,9.2,-1,8.3,8.5,8.5,8.7,8.1,8.7
486,22557,10,-1,10,10,-1,8,-1,-1
487,22580,-1,-1,-1,-1,-1,-1,-1,8.5
488,22589,-1,-1,-1,-1,-1,-1,-1,-1
489,22619,9.2,-1,9,9.3,9.3,9.3,8.9,9.3
490,22623,9.1,9,8.3,9.7,-1,9.1,-1,8
491,22720,7.9,8.4,6.9,8.8,-1,8.3,7.4,7.8
492,22722,8.6,8.6,9.1,8.6,-1,8.4,-1,8.4
493,22802,8.1,8.1,8.4,8.7,7.6,8.4,7.4,8.1
494,22906,8.2,7.5,7.8,8,-1,7.5,-1,8.1
495,22914,9.2,8.9,8.7,8.8,-1,8.8,-1,8.7
496,22920,8.2,-1,7.1,8.8,-1,7.2,4,7.3
497,22952,-1,-1,-1,-1,-1,-1,-1,7
498,22956,8.5,-1,7.9,-1,-1,8.8,7.5,8
499,22980,8.1,8.3,8.8,7.8,-1,7.7,-1,8.2
500,22987,8.7,8.4,7.7,8.7,-1,8.8,-1,8.6
501,23029,8.2,7.5,7.8,8,-1,7.5,-1,7
502,23134,8,7.8,9.1,8.1,-1,9,8.2,8.6
503,23137,9.3,7.8,9.1,8.7,-1,8.6,-1,8.2
504,23140,8.9,-1,8.2,-1,9,9.5,8.9,8.8
505,23145,-1,-1,-1,-1,-1,-1,-1,-1
506,23167,8.9,8,8.3,8.6,-1,8.6,-1,7.4
507,23172,9.1,8.5,9.1,9.4,-1,9.4,-1,8.2
508,23189,10,9,9,10,-1,10,-1,8.2
509,23213,8.6,10,8,7.5,8.5,8.6,8.1,8.7
510,23234,7.7,7.5,7.3,8,-1,7.3,-1,7.8
511,23248,9,8.3,8.5,9.2,-1,9.2,-1,7.4
512,23270,-1,-1,-1,-1,-1,-1,-1,-1
513,23305,8.6,8,7.7,9.1,-1,8.6,-1,7.8
