,domain_hotel_id,min_price_update
891,444665,606545
892,9848779,781818
893,3000010024271,737100
894,1105921,661640
895,16358410,779221
896,3000010023914,900000
897,271013,769524
898,290092,761905
899,8144140,-1
900,3000010025716,4411800
901,16017758,-1
902,503043,-1
903,411852,779221
904,9670653,-1
905,1000000529776,456750
906,3000010025781,2196100
907,699553,389610
908,9000000636488,452118
909,3418607,-1
910,44216713,857143
911,27177286,6372294
912,4000001011164,8302383
913,6771567,260870
914,28978148,-1
915,4258955,300000
916,3000010026654,576000
917,17241121,-1
918,21080271,-1
919,2360717,200000
920,45775833,-1
921,1000001021092,1446932
922,27314619,1255411
923,1177793,980000
924,3000010041202,450000
925,3000010026420,1129500
926,548390,389610
927,41272760,-1
928,23358224,605195
929,1000000875924,697522
930,5945112,606061
931,4105516,700000
932,3000010031984,1588235
933,548250,303030
934,3000010041566,349980
935,775838,350000
936,299330,-1
937,2252880,173160
938,28978148,-1
939,2360717,200000
940,3000010026665,250000
941,42426581,311688
942,10653102,1038961
943,1000000512722,1200000
944,687047,1125541
945,280519,519481
946,1000012,600000
947,3000010025975,1102661
948,298566,-1
949,1781262,865801
950,299336,389610
951,548909,260870
952,36277612,233766
953,3000010026654,576000
954,17241121,-1
955,290101,-1
956,2594663,565000
957,11100537,343636
958,45635162,1353506
959,3000010023914,900000
960,5934609,340200
961,1278982,1787940
962,263495,-1
963,3000010025347,784400
964,2252880,173160
965,3000020014970,419112
966,28978148,-1
967,2360717,200000
968,3000010036167,662000
969,16026981,-1
970,339499,1850000
971,1000001780645,1765766
972,426863,2136750
973,33401368,1521645
974,544944,-1
975,1000000623242,359239
976,16011749,311688
977,548949,233766
