,hotel_id,breakfast,wifi,carpark,airport,restaurant,deposit_box,baby,bar,laundry,tour,spa,pool
9132,36029,-1,1,1,1,0,0,-1,0,0,0,0,-1
9133,36030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9134,36031,-1,1,0,0,0,0,0,0,1,-1,-1,-1
9135,36032,-1,1,0,0,0,0,0,0,1,0,0,0
9136,36035,-1,1,0,1,0,1,0,0,1,-1,-1,-1
9137,36036,-1,1,0,1,1,0,0,0,1,1,0,0
9138,36041,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9139,36042,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
9140,36044,-1,1,1,0,0,0,-1,0,0,1,0,-1
9141,36045,-1,0,0,1,0,0,0,0,1,1,0,0
9142,36047,-1,1,0,1,1,0,0,0,1,0,0,0
9143,36049,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9144,36050,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9145,36052,-1,1,0,0,1,1,0,0,1,-1,-1,-1
9146,36054,-1,1,0,0,0,0,0,0,0,0,0,0
9147,36055,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
9148,36056,-1,1,0,1,1,1,0,0,1,1,-1,-1
9149,36057,-1,-1,1,-1,-1,1,1,-1,1,1,-1,-1
9150,36058,-1,-1,1,-1,-1,-1,-1,1,1,1,0,-1
9151,36059,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
9152,36060,-1,1,0,1,0,0,0,0,1,1,0,0
9153,36062,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9154,36063,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1
9155,36064,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
9156,36065,-1,1,0,1,0,0,0,0,1,1,0,0
9157,36067,-1,-1,1,-1,-1,-1,-1,1,1,1,0,-1
9158,36070,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1
9159,36072,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9160,36073,-1,1,0,1,1,0,0,0,1,1,0,0
9161,36074,-1,1,0,1,0,0,0,0,0,1,0,0
9162,36075,-1,1,0,1,1,1,0,1,1,1,0,1
9163,36080,-1,1,1,0,0,0,-1,0,1,0,0,-1
9164,36083,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
9165,36084,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1
9166,36085,-1,1,0,1,0,0,-1,0,0,1,0,-1
9167,36086,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
9168,36087,-1,1,0,1,0,0,0,0,1,1,0,0
9169,36088,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9170,36089,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9171,36092,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9172,36093,-1,1,0,0,0,1,0,0,1,1,0,0
9173,36094,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1
9174,36095,-1,-1,1,-1,1,-1,1,1,1,1,-1,-1
9175,36097,-1,1,0,0,0,0,0,0,1,1,-1,-1
9176,36098,-1,1,0,1,0,0,0,0,1,-1,-1,-1
9177,36101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9178,36102,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1
9179,36103,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1
9180,36105,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
9181,36106,-1,1,0,0,0,0,0,0,1,0,0,0
9182,36107,-1,1,0,1,0,0,0,0,1,1,0,0
9183,36108,-1,1,1,0,0,0,-1,0,0,0,0,-1
9184,36109,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
